Local TimeFreq mean	I 4 mean	I a mean	I avg mean	I b mean	I c mean	kVA tot mean	kVAR tot mean	kW tot mean	PF lag mean	PF lead mean	V unbal mean	Vll ab mean	Vll avg mean	Vll bc mean	Vll ca mean
04-05-2024 00:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.51	34719.00	34581.78	34620.49	34405.88
04-05-2024 00:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	34651.67	34514.66	34543.61	34348.77
04-05-2024 01:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.47	34634.17	34500.22	34521.72	34344.77
04-05-2024 01:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.45	34670.96	34542.21	34564.26	34391.50
04-05-2024 01:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	34794.46	34673.96	34698.89	34528.57
04-05-2024 01:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	34880.73	34768.04	34795.31	34628.12
04-05-2024 02:00:0059.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	34906.48	34792.41	34817.84	34652.98
04-05-2024 02:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34965.62	34856.71	34883.68	34720.82
04-05-2024 02:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34987.80	34880.53	34906.05	34747.73
04-05-2024 02:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	35023.00	34915.25	34940.07	34782.72
04-05-2024 03:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	35014.75	34910.28	34938.63	34777.41
04-05-2024 03:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	34929.90	34831.36	34865.47	34698.68
04-05-2024 03:30:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	34941.51	34843.21	34879.64	34708.50
04-05-2024 03:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	34996.57	34899.18	34935.61	34765.38
04-05-2024 04:00:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	35028.48	34928.80	34960.69	34797.23
04-05-2024 04:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.39	35045.90	34949.09	34978.65	34822.77
04-05-2024 04:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.37	35044.46	34949.02	34975.21	34827.40
04-05-2024 04:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.38	34859.60	34762.98	34789.27	34640.15
04-05-2024 05:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.37	34866.71	34765.57	34785.72	34644.23
04-05-2024 05:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.36	34730.83	34640.21	34671.27	34518.64
04-05-2024 05:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.38	34530.68	34429.23	34459.21	34297.72
04-05-2024 05:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	34634.28	34549.48	34589.65	34424.52
04-05-2024 06:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	34454.73	34378.31	34420.91	34259.27
04-05-2024 06:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.37	34263.93	34188.17	34237.15	34063.37
04-05-2024 06:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.39	34114.25	34032.59	34082.69	33900.91
04-05-2024 06:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.37	34427.03	34337.54	34379.26	34206.30
04-05-2024 07:00:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	34233.57	34170.90	34234.30	34044.81
04-05-2024 07:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.25	34430.71	34381.02	34450.18	34262.10
04-05-2024 07:30:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.29	34185.07	34132.50	34209.25	34003.20
04-05-2024 07:45:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.36	34172.75	34092.88	34168.73	33937.16
04-05-2024 08:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	34337.47	34241.72	34316.18	34071.49
04-05-2024 08:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34469.68	34384.12	34473.11	34209.59
04-05-2024 08:30:0059.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	29043.54	28978.06	29041.79	28848.76
04-05-2024 08:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	35182.54	35089.09	35189.16	34895.47
04-05-2024 09:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	34796.28	34711.16	34814.60	34522.53
04-05-2024 09:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	34624.06	34540.29	34645.66	34351.07
04-05-2024 09:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34456.56	34385.11	34505.33	34193.42
04-05-2024 09:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.46	34083.99	34008.25	34134.22	33806.56
