Local TimeFreq mean	I 4 mean	I a mean	I avg mean	I b mean	I c mean	kVA tot mean	kVAR tot mean	kW tot mean	PF lag mean	PF lead mean	V unbal mean	Vll ab mean	Vll avg mean	Vll bc mean	Vll ca mean
10-05-2024 11:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	34239.64	34214.38	34317.13	34086.34
10-05-2024 12:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.29	34388.31	34353.21	34451.39	34219.98
10-05-2024 12:15:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.30	34469.79	34431.88	34525.57	34300.27
10-05-2024 12:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	34667.88	34622.29	34712.50	34486.42
10-05-2024 12:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	34728.44	34683.86	34771.04	34552.10
10-05-2024 13:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.29	34793.31	34747.84	34829.76	34620.43
10-05-2024 13:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.26	34873.93	34825.62	34899.39	34703.54
10-05-2024 13:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.24	34872.05	34832.95	34906.45	34720.35
10-05-2024 13:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.25	35021.91	34975.65	35050.26	34854.77
10-05-2024 14:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.25	35057.52	35002.26	35062.77	34886.48
10-05-2024 14:15:0060.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.28	35064.43	35011.56	35082.84	34887.41
10-05-2024 14:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.30	35041.66	34982.66	35055.48	34850.84
10-05-2024 14:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.29	34991.91	34944.91	35028.56	34814.35
10-05-2024 15:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.29	35029.71	34987.90	35068.60	34865.36
10-05-2024 15:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.33	34942.61	34893.62	34981.71	34756.59
10-05-2024 15:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	34620.64	34554.05	34652.71	34388.79
10-05-2024 15:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	34807.95	34784.02	34921.04	34623.07
10-05-2024 16:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	34808.98	34779.17	34905.46	34623.02
10-05-2024 16:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.36	34991.67	34949.77	35074.29	34783.32
10-05-2024 16:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.37	35049.95	35007.54	35132.93	34839.62
10-05-2024 16:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.36	35057.83	35021.27	35136.43	34869.54
10-05-2024 17:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	35094.47	35054.38	35160.93	34907.78
10-05-2024 17:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.33	35096.61	35058.43	35169.15	34909.50
10-05-2024 17:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	35173.98	35134.43	35246.48	34982.79
10-05-2024 17:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.30	35138.86	35114.02	35226.96	34976.28
10-05-2024 18:00:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.27	35197.68	35167.16	35261.17	35042.62
10-05-2024 18:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	35295.04	35229.79	35291.31	35103.00
10-05-2024 18:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	35330.21	35278.52	35353.81	35151.47
10-05-2024 18:45:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	35217.26	35161.32	35269.95	34996.78
10-05-2024 19:00:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.45	34845.39	34755.14	34872.95	34547.21
10-05-2024 19:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.48	34921.09	34805.91	34887.45	34609.20
10-05-2024 19:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.49	35014.94	34884.46	34953.07	34685.36
10-05-2024 19:45:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.52	35064.18	34924.54	34986.96	34722.51
10-05-2024 20:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.51	35200.27	35049.22	35102.79	34844.57
10-05-2024 20:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.51	35330.98	35184.32	35245.10	34976.79
10-05-2024 20:30:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	35395.91	35251.27	35314.00	35043.83
10-05-2024 20:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	35500.08	35358.58	35427.81	35147.84
10-05-2024 21:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.61	35546.95	35376.03	35411.05	35170.01
10-05-2024 21:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.61	35625.69	35433.24	35448.71	35225.36
10-05-2024 21:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.52	35650.05	35484.67	35512.64	35291.30
10-05-2024 21:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.47	35618.13	35471.00	35497.84	35297.12
10-05-2024 22:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	35432.88	35301.90	35329.75	35143.04
10-05-2024 22:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	35052.59	34948.91	34988.88	34805.29
10-05-2024 22:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	34596.36	34520.68	34587.19	34378.43
10-05-2024 22:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.30	34708.13	34634.77	34694.62	34501.50
10-05-2024 23:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.29	34841.55	34769.02	34813.38	34652.12
10-05-2024 23:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.29	34868.84	34798.05	34829.03	34696.22
10-05-2024 23:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.25	34837.83	34803.96	34854.05	34720.02
10-05-2024 23:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.23	34897.41	34864.75	34907.49	34789.29
11-05-2024 00:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.23	34836.00	34802.71	34846.06	34726.00
11-05-2024 00:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.25	34858.10	34808.65	34841.73	34726.11
11-05-2024 00:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.29	34620.98	34559.09	34587.95	34468.48
11-05-2024 00:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.28	34655.04	34589.12	34612.06	34500.30
11-05-2024 01:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	34704.04	34618.97	34643.36	34509.41
11-05-2024 01:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.39	34701.89	34609.01	34642.64	34482.59
11-05-2024 01:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.38	34724.99	34638.96	34676.25	34515.67
11-05-2024 01:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.38	34758.17	34670.56	34706.05	34547.41
11-05-2024 02:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	34769.15	34672.52	34712.74	34535.61
11-05-2024 02:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.45	34717.56	34612.96	34656.57	34464.70
11-05-2024 02:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34721.20	34620.15	34664.58	34474.68
11-05-2024 02:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	34792.38	34692.70	34734.91	34550.77
11-05-2024 03:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	34828.68	34725.74	34766.42	34582.12
11-05-2024 03:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34875.25	34772.74	34816.20	34626.72
11-05-2024 03:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	34855.28	34755.00	34792.73	34616.98
11-05-2024 03:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	34805.45	34710.77	34753.73	34573.09
11-05-2024 04:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34856.46	34759.21	34795.47	34625.72
11-05-2024 04:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	34861.39	34764.22	34801.40	34629.88
11-05-2024 04:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	34804.97	34708.36	34752.11	34568.04
11-05-2024 04:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34745.89	34660.89	34710.65	34526.20
11-05-2024 05:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34613.52	34523.94	34570.77	34387.63
11-05-2024 05:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	34528.79	34435.51	34477.71	34300.05
11-05-2024 05:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	34324.50	34236.36	34288.55	34096.01
11-05-2024 05:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34338.04	34248.09	34301.35	34104.86
11-05-2024 06:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34445.56	34338.84	34368.86	34202.12
11-05-2024 06:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34220.84	34122.86	34159.19	33988.55
11-05-2024 06:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34020.41	33920.57	33960.79	33780.56
11-05-2024 06:45:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.48	34225.24	34098.08	34132.43	33936.60
11-05-2024 07:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.47	34312.94	34195.27	34241.04	34031.88
11-05-2024 07:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.47	34399.39	34279.00	34319.15	34118.41
11-05-2024 07:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.52	34425.29	34290.43	34331.62	34114.39
11-05-2024 07:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.53	34473.17	34342.04	34383.96	34168.98
11-05-2024 08:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.56	34570.06	34428.43	34487.68	34227.57
11-05-2024 08:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.56	34566.68	34420.06	34475.74	34217.86
11-05-2024 08:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.57	34440.93	34290.38	34353.77	34076.46
11-05-2024 08:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.57	34665.40	34522.55	34595.67	34306.58
11-05-2024 09:00:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.53	34673.34	34546.41	34621.85	34343.93
11-05-2024 09:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.57	34600.52	34467.38	34545.59	34256.00
11-05-2024 09:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.61	34532.39	34384.52	34453.73	34167.44
11-05-2024 09:45:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.59	34412.14	34273.73	34344.24	34064.86
11-05-2024 10:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.61	34257.07	34122.49	34210.35	33900.01
11-05-2024 10:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.57	34276.33	34160.03	34253.21	33950.52
11-05-2024 10:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.53	34174.59	34063.99	34156.00	33861.51
11-05-2024 10:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.63	34068.08	33939.45	34039.48	33710.83
11-05-2024 11:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.67	34006.57	33866.01	33975.45	33616.07
11-05-2024 11:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.65	34042.55	33903.33	34000.63	33666.89
11-05-2024 11:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.63	34024.34	33884.51	33968.41	33660.79
11-05-2024 11:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.64	34057.73	33915.54	33992.54	33696.43
11-05-2024 12:00:00	0.00	32.84	33.35	33.59	33.62	26.64	-13.53	11.02		96.98	7.64	19336.31	19286.46	19348.75	19174.35
11-05-2024 12:15:00	0.00	92.86	92.93	92.96	92.96	4092.19	-3537.55	2033.70		61.34	3.30	24447.83	24370.55	24320.35	24343.37
11-05-2024 12:30:0060.00	0.00	85.06	85.12	85.15	85.14	5056.94	-4379.92	2527.62		93.53	3.88	15330.21	15293.69	15217.58	15333.33
11-05-2024 12:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.33	34993.90	34914.05	34961.77	34786.43
11-05-2024 13:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.38	34977.10	34873.84	34917.91	34726.51
11-05-2024 13:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.52	34785.57	34642.79	34694.69	34448.10
11-05-2024 13:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.59	34779.34	34626.45	34692.67	34407.35
11-05-2024 13:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.64	34940.84	34771.22	34837.00	34535.81
11-05-2024 14:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.62	35003.96	34838.91	34905.09	34607.61
11-05-2024 14:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.64	35026.32	34848.18	34905.37	34612.94
11-05-2024 14:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.60	34949.92	34787.98	34842.94	34571.09
11-05-2024 14:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.58	34984.91	34827.32	34876.51	34620.52
11-05-2024 15:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.64	34976.63	34808.95	34867.17	34583.02
11-05-2024 15:15:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.56	35451.57	35302.03	35350.27	35104.21
11-05-2024 15:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.53	35502.55	35361.93	35399.12	35184.15
11-05-2024 15:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.54	35500.60	35360.95	35404.13	35178.12
11-05-2024 16:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.59	35407.25	35234.77	35261.29	35035.84
11-05-2024 16:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.61	35217.10	35043.06	35077.04	34835.11
11-05-2024 16:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.60	35264.65	35091.90	35126.06	34885.10
11-05-2024 16:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.62	35319.77	35150.39	35190.58	34940.82
11-05-2024 17:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.61	35338.83	35168.40	35206.55	34959.93
11-05-2024 17:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.64	35241.52	35054.50	35074.09	34847.85
11-05-2024 17:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.55	35275.35	35107.85	35123.61	34924.55
11-05-2024 17:45:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	35508.78	35380.57	35400.94	35232.02
11-05-2024 18:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.39	35593.19	35486.30	35520.52	35345.20
11-05-2024 18:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.39	35601.77	35484.99	35510.04	35343.22
11-05-2024 18:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	35434.78	35301.92	35320.32	35150.61
11-05-2024 18:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.46	35170.34	35041.63	35081.73	34872.84
11-05-2024 19:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.49	35061.96	34933.10	34981.83	34755.54
11-05-2024 19:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	35001.43	34863.91	34908.87	34681.46
11-05-2024 19:30:0059.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.49	35025.73	34884.41	34922.99	34704.49
11-05-2024 19:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	35111.06	34963.04	34987.61	34790.38
11-05-2024 20:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.51	35194.25	35041.88	35069.24	34862.07
11-05-2024 20:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	35279.73	35130.60	35160.07	34951.95
11-05-2024 20:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	35389.97	35241.54	35266.02	35068.66
11-05-2024 20:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.47	35453.35	35306.93	35327.41	35140.14
11-05-2024 21:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.49	35503.64	35355.38	35368.88	35193.58
11-05-2024 21:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	35418.40	35265.28	35274.37	35103.05
11-05-2024 21:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.49	35524.81	35376.99	35392.29	35213.88
11-05-2024 21:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.49	35583.95	35437.50	35445.49	35283.06
11-05-2024 22:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.49	35675.57	35531.18	35535.82	35382.20
11-05-2024 22:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.49	35312.57	35173.14	35177.57	35029.25
11-05-2024 22:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.47	35114.74	34980.15	34985.30	34840.32
11-05-2024 22:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.47	35029.98	34898.22	34897.96	34766.70
11-05-2024 23:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	34763.96	34616.99	34625.96	34461.05
11-05-2024 23:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.47	34919.72	34785.23	34802.02	34633.92
11-05-2024 23:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.45	34790.31	34664.12	34682.88	34519.15
11-05-2024 23:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	34807.38	34689.36	34708.61	34552.05
12-05-2024 00:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	34881.39	34766.41	34780.61	34637.23
12-05-2024 00:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	34744.46	34622.09	34634.99	34486.81
12-05-2024 00:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34823.23	34705.97	34714.61	34580.08
12-05-2024 00:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.39	34916.17	34800.17	34806.99	34677.36
12-05-2024 01:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.38	34987.93	34881.16	34895.00	34760.59
12-05-2024 01:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.38	34990.88	34887.45	34901.95	34769.55
12-05-2024 01:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.37	34825.90	34726.89	34749.09	34605.73
12-05-2024 01:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	34703.73	34623.38	34664.57	34501.80
12-05-2024 02:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.33	34818.72	34737.97	34776.20	34619.00
12-05-2024 02:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	34852.17	34773.93	34809.84	34659.80
12-05-2024 02:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	34949.25	34873.59	34908.94	34762.64
12-05-2024 02:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	34979.82	34903.68	34937.04	34794.23
12-05-2024 03:00:0059.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	35047.97	34968.56	35001.07	34856.65
12-05-2024 03:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	35038.93	34956.35	34984.62	34845.58
12-05-2024 03:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	34965.21	34885.99	34915.73	34777.04
12-05-2024 03:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	34879.83	34800.60	34832.87	34689.08
12-05-2024 04:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	34850.99	34771.54	34801.83	34661.77
12-05-2024 04:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	34776.50	34697.43	34731.37	34584.41
12-05-2024 04:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	34767.97	34688.13	34725.38	34571.06
12-05-2024 04:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	34792.09	34712.51	34749.31	34596.11
12-05-2024 05:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	34748.50	34668.19	34700.61	34555.45
12-05-2024 05:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.33	34756.00	34672.19	34703.66	34556.92
12-05-2024 05:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.33	34717.19	34636.98	34676.33	34517.36
12-05-2024 05:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.28	34816.42	34744.86	34776.75	34641.39
12-05-2024 06:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.26	34743.42	34679.63	34716.16	34579.30
12-05-2024 06:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.24	34934.75	34866.33	34891.77	34772.48
12-05-2024 06:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.24	34864.11	34794.09	34814.25	34703.87
12-05-2024 06:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.26	34849.87	34780.63	34808.22	34683.74
12-05-2024 07:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.26	34681.54	34633.25	34685.12	34532.99
12-05-2024 07:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.25	34800.99	34750.54	34795.99	34654.60
12-05-2024 07:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.27	35050.04	34991.10	35043.75	34879.50
12-05-2024 07:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.28	35291.48	35222.17	35262.55	35112.48
12-05-2024 08:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.30	35265.91	35191.88	35241.61	35068.16
12-05-2024 08:15:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.38	35454.52	35323.64	35337.76	35178.59
12-05-2024 08:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	35379.09	35238.18	35246.57	35088.95
12-05-2024 08:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	35267.93	35117.91	35121.99	34963.78
12-05-2024 09:00:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.49	35258.91	35102.59	35124.79	34923.99
